# 16383 samples -> 679 bus cycles
  7846 MW     a=28E6 d=36 slot=5C n=6
  7858 M1     a=0C3D d=D5 slot=5C n=15
  7900 MW     a=28E5 d=55 slot=5C n=6
  7918 MW     a=28E4 d=27 slot=5C n=6
  7930 M1     a=0C3E d=C5 slot=5C n=15
  7972 MW     a=28E3 d=5F slot=5C n=6
  7990 MW     a=28E2 d=10 slot=5C n=6
  8002 M1     a=0C3F d=F5 slot=5C n=15
  8044 MW     a=28E1 d=98 slot=5C n=6
  8062 MW     a=28E0 d=44 slot=5C n=6
  8074 M1     a=0C40 d=D9 slot=5C n=15
  8104 M1     a=0C41 d=08 slot=5C n=15
  8134 M1     a=0C42 d=E5 slot=5C n=15
  8176 MW     a=28DF d=5C slot=5C n=6
  8194 MW     a=28DE d=AE slot=5C n=6
  8206 M1     a=0C43 d=D5 slot=5C n=15
  8248 MW     a=28DD d=B4 slot=5C n=6
  8266 MW     a=28DC d=28 slot=5C n=6
  8278 M1     a=0C44 d=C5 slot=5C n=15
  8320 MW     a=28DB d=00 slot=5C n=6
  8338 MW     a=28DA d=00 slot=5C n=6
  8350 M1     a=0C45 d=F5 slot=5C n=15
  8392 MW     a=28D9 d=5C slot=5C n=6
  8410 MW     a=28D8 d=00 slot=5C n=6
  8422 M1     a=0C46 d=FD slot=5C n=15
  8452 M1     a=0C47 d=E5 slot=5C n=15
  8494 MW     a=28D7 d=01 slot=5C n=6
  8512 MW     a=28D6 d=A8 slot=5C n=6
  8524 M1     a=0C48 d=DD slot=5C n=15
  8554 M1     a=0C49 d=E5 slot=5C n=15
  8596 MW     a=28D5 d=E0 slot=5C n=6
  8614 MW     a=28D4 d=00 slot=5C n=6
  8626 M1     a=0C4A d=CD slot=5C n=15
  8656 MR     a=0C4B d=9A slot=5C n=12
  8674 MR     a=0C4C d=FD slot=5C n=12
  8704 MW     a=28D3 d=0C slot=5C n=6
  8722 MW     a=28D2 d=4D slot=5C n=6
  8734 M1     a=FD9A d=FF slot=5C n=15
  8776 MW     a=28D1 d=FD slot=5C n=6
  8794 MW     a=28D0 d=9B slot=5C n=6
  8806 M1     a=0038 d=C3 slot=5C n=15
  8836 MR     a=0039 d=3C slot=5C n=12
  8854 MR     a=003A d=0C slot=5C n=12
  8872 M1     a=0C3C d=E5 slot=5C n=15
  8914 MW     a=28CF d=5C slot=5C n=6
  8932 MW     a=28CE d=AE slot=5C n=6
  8944 M1     a=0C3D d=D5 slot=5C n=15
  8986 MW     a=28CD d=B4 slot=5C n=6
  9004 MW     a=28CC d=28 slot=5C n=6
  9016 M1     a=0C3E d=C5 slot=5C n=15
  9058 MW     a=28CB d=00 slot=5C n=6
  9076 MW     a=28CA d=00 slot=5C n=6
  9088 M1     a=0C3F d=F5 slot=5C n=15
  9130 MW     a=28C9 d=5C slot=5C n=6
  9148 MW     a=28C8 d=00 slot=5C n=6
  9160 M1     a=0C40 d=D9 slot=5C n=15
  9190 M1     a=0C41 d=08 slot=5C n=15
  9220 M1     a=0C42 d=E5 slot=5C n=15
  9262 MW     a=28C7 d=55 slot=5C n=6
  9280 MW     a=28C6 d=36 slot=5C n=6
  9292 M1     a=0C43 d=D5 slot=5C n=15
  9334 MW     a=28C5 d=55 slot=5C n=6
  9352 MW     a=28C4 d=27 slot=5C n=6
  9364 M1     a=0C44 d=C5 slot=5C n=15
  9406 MW     a=28C3 d=5F slot=5C n=6
  9424 MW     a=28C2 d=10 slot=5C n=6
  9436 M1     a=0C45 d=F5 slot=5C n=15
  9478 MW     a=28C1 d=98 slot=5C n=6
  9496 MW     a=28C0 d=44 slot=5C n=6
  9508 M1     a=0C46 d=FD slot=5C n=15
  9538 M1     a=0C47 d=E5 slot=5C n=15
  9580 MW     a=28BF d=01 slot=5C n=6
  9598 MW     a=28BE d=A8 slot=5C n=6
  9610 M1     a=0C48 d=DD slot=5C n=15
  9640 M1     a=0C49 d=E5 slot=5C n=15
  9682 MW     a=28BD d=E0 slot=5C n=6
  9700 MW     a=28BC d=00 slot=5C n=6
  9712 M1     a=0C4A d=CD slot=5C n=15
  9742 MR     a=0C4B d=9A slot=5C n=12
  9760 MR     a=0C4C d=FD slot=5C n=12
  9790 MW     a=28BB d=0C slot=5C n=6
  9808 MW     a=28BA d=4D slot=5C n=6
  9820 M1     a=FD9A d=FF slot=5C n=15
  9862 MW     a=28B9 d=FD slot=5C n=6
  9880 MW     a=28B8 d=9B slot=5C n=6
  9892 M1     a=0038 d=C3 slot=5C n=15
  9922 MR     a=0039 d=3C slot=5C n=12
  9940 MR     a=003A d=0C slot=5C n=12
  9958 M1     a=0C3C d=E5 slot=5C n=15
 10000 MW     a=28B7 d=55 slot=5C n=6
 10018 MW     a=28B6 d=36 slot=5C n=6
 10030 M1     a=0C3D d=D5 slot=5C n=15
 10072 MW     a=28B5 d=55 slot=5C n=6
 10090 MW     a=28B4 d=27 slot=5C n=6
 10102 M1     a=0C3E d=C5 slot=5C n=15
 10144 MW     a=28B3 d=5F slot=5C n=6
 10162 MW     a=28B2 d=10 slot=5C n=6
 10174 M1     a=0C3F d=F5 slot=5C n=15
 10216 MW     a=28B1 d=98 slot=5C n=6
 10234 MW     a=28B0 d=44 slot=5C n=6
 10246 M1     a=0C40 d=D9 slot=5C n=15
 10276 M1     a=0C41 d=08 slot=5C n=15
 10306 M1     a=0C42 d=E5 slot=5C n=15
 10348 MW     a=28AF d=5C slot=5C n=6
 10366 MW     a=28AE d=AE slot=5C n=6
 10378 M1     a=0C43 d=D5 slot=5C n=15
 10420 MW     a=28AD d=B4 slot=5C n=6
 10438 MW     a=28AC d=28 slot=5C n=6
 10450 M1     a=0C44 d=C5 slot=5C n=15
 10492 MW     a=28AB d=00 slot=5C n=6
 10510 MW     a=28AA d=00 slot=5C n=6
 10522 M1     a=0C45 d=F5 slot=5C n=15
 10564 MW     a=28A9 d=5C slot=5C n=6
 10582 MW     a=28A8 d=00 slot=5C n=6
 10594 M1     a=0C46 d=FD slot=5C n=15
 10624 M1     a=0C47 d=E5 slot=5C n=15
 10666 MW     a=28A7 d=01 slot=5C n=6
 10684 MW     a=28A6 d=A8 slot=5C n=6
 10696 M1     a=0C48 d=DD slot=5C n=15
 10726 M1     a=0C49 d=E5 slot=5C n=15
 10768 MW     a=28A5 d=E0 slot=5C n=6
 10786 MW     a=28A4 d=00 slot=5C n=6
 10798 M1     a=0C4A d=CD slot=5C n=15
 10828 MR     a=0C4B d=9A slot=5C n=12
 10846 MR     a=0C4C d=FD slot=5C n=12
 10876 MW     a=28A3 d=0C slot=5C n=6
 10894 MW     a=28A2 d=4D slot=5C n=6
 10906 M1     a=FD9A d=FF slot=5C n=15
 10948 MW     a=28A1 d=FD slot=5C n=6
 10966 MW     a=28A0 d=9B slot=5C n=6
 10978 M1     a=0038 d=C3 slot=5C n=15
 11008 MR     a=0039 d=3C slot=5C n=12
 11026 MR     a=003A d=0C slot=5C n=12
 11044 M1     a=0C3C d=E5 slot=5C n=15
 11086 MW     a=289F d=5C slot=5C n=6
 11104 MW     a=289E d=AE slot=5C n=6
 11116 M1     a=0C3D d=D5 slot=5C n=15
 11158 MW     a=289D d=B4 slot=5C n=6
 11176 MW     a=289C d=28 slot=5C n=6
 11188 M1     a=0C3E d=C5 slot=5C n=15
 11230 MW     a=289B d=00 slot=5C n=6
 11248 MW     a=289A d=00 slot=5C n=6
 11260 M1     a=0C3F d=F5 slot=5C n=15
 11302 MW     a=2899 d=5C slot=5C n=6
 11320 MW     a=2898 d=00 slot=5C n=6
 11332 M1     a=0C40 d=D9 slot=5C n=15
 11362 M1     a=0C41 d=08 slot=5C n=15
 11392 M1     a=0C42 d=E5 slot=5C n=15
 11434 MW     a=2897 d=55 slot=5C n=6
 11452 MW     a=2896 d=36 slot=5C n=6
 11464 M1     a=0C43 d=D5 slot=5C n=15
 11506 MW     a=2895 d=55 slot=5C n=6
 11524 MW     a=2894 d=27 slot=5C n=6
 11536 M1     a=0C44 d=C5 slot=5C n=15
 11578 MW     a=2893 d=5F slot=5C n=6
 11596 MW     a=2892 d=10 slot=5C n=6
 11608 M1     a=0C45 d=F5 slot=5C n=15
 11650 MW     a=2891 d=98 slot=5C n=6
 11668 MW     a=2890 d=44 slot=5C n=6
 11680 M1     a=0C46 d=FD slot=5C n=15
 11710 M1     a=0C47 d=E5 slot=5C n=15
 11752 MW     a=288F d=01 slot=5C n=6
 11770 MW     a=288E d=A8 slot=5C n=6
 11782 M1     a=0C48 d=DD slot=5C n=15
 11812 M1     a=0C49 d=E5 slot=5C n=15
 11854 MW     a=288D d=E0 slot=5C n=6
 11872 MW     a=288C d=00 slot=5C n=6
 11884 M1     a=0C4A d=CD slot=5C n=15
 11914 MR     a=0C4B d=9A slot=5C n=12
 11932 MR     a=0C4C d=FD slot=5C n=12
 11962 MW     a=288B d=0C slot=5C n=6
 11980 MW     a=288A d=4D slot=5C n=6
 11992 M1     a=FD9A d=FF slot=5C n=15
 12034 MW     a=2889 d=FD slot=5C n=6
 12052 MW     a=2888 d=9B slot=5C n=6
 12064 M1     a=0038 d=C3 slot=5C n=15
 12094 MR     a=0039 d=3C slot=5C n=12
 12112 MR     a=003A d=0C slot=5C n=12
 12130 M1     a=0C3C d=E5 slot=5C n=15
 12172 MW     a=2887 d=55 slot=5C n=6
 12190 MW     a=2886 d=36 slot=5C n=6
 12202 M1     a=0C3D d=D5 slot=5C n=15
 12244 MW     a=2885 d=55 slot=5C n=6
 12262 MW     a=2884 d=27 slot=5C n=6
 12274 M1     a=0C3E d=C5 slot=5C n=15
 12316 MW     a=2883 d=5F slot=5C n=6
 12334 MW     a=2882 d=10 slot=5C n=6
 12346 M1     a=0C3F d=F5 slot=5C n=15
 12388 MW     a=2881 d=98 slot=5C n=6
 12406 MW     a=2880 d=44 slot=5C n=6
 12418 M1     a=0C40 d=D9 slot=5C n=15
 12448 M1     a=0C41 d=08 slot=5C n=15
 12478 M1     a=0C42 d=E5 slot=5C n=15
 12520 MW     a=287F d=5C slot=5C n=6
 12538 MW     a=287E d=AE slot=5C n=6
 12550 M1     a=0C43 d=D5 slot=5C n=15
 12592 MW     a=287D d=B4 slot=5C n=6
 12610 MW     a=287C d=28 slot=5C n=6
 12622 M1     a=0C44 d=C5 slot=5C n=15
 12664 MW     a=287B d=00 slot=5C n=6
 12682 MW     a=287A d=00 slot=5C n=6
 12694 M1     a=0C45 d=F5 slot=5C n=15
 12736 MW     a=2879 d=5C slot=5C n=6
 12754 MW     a=2878 d=00 slot=5C n=6
 12766 M1     a=0C46 d=FD slot=5C n=15
 12796 M1     a=0C47 d=E5 slot=5C n=15
 12838 MW     a=2877 d=01 slot=5C n=6
 12856 MW     a=2876 d=A8 slot=5C n=6
 12868 M1     a=0C48 d=DD slot=5C n=15
 12898 M1     a=0C49 d=E5 slot=5C n=15
 12940 MW     a=2875 d=E0 slot=5C n=6
 12958 MW     a=2874 d=00 slot=5C n=6
 12970 M1     a=0C4A d=CD slot=5C n=15
 13000 MR     a=0C4B d=9A slot=5C n=12
 13018 MR     a=0C4C d=FD slot=5C n=12
 13048 MW     a=2873 d=0C slot=5C n=6
 13066 MW     a=2872 d=4D slot=5C n=6
 13078 M1     a=FD9A d=FF slot=5C n=15
 13120 MW     a=2871 d=FD slot=5C n=6
