# 16385 samples -> 666 bus cycles
  3885 M1     a=896A d=B7 slot=D4 n=15
  3915 M1     a=896B d=C0 slot=D4 n=15
  3951 M1     a=896C d=3A slot=D4 n=15
  3981 MR     a=896D d=00 slot=D4 n=12
  3999 MR     a=896E d=C8 slot=D4 n=12
  4017 MR     a=C800 d=00 slot=D4 n=12
  4035 M1     a=896F d=FE slot=D4 n=15
  4065 MR     a=8970 d=02 slot=D4 n=12
  4083 M1     a=8971 d=C8 slot=D4 n=15
  4119 M1     a=8972 d=21 slot=D4 n=15
  4149 MR     a=8973 d=58 slot=D4 n=12
  4167 MR     a=8974 d=C8 slot=D4 n=12
  4185 M1     a=8975 d=7E slot=D4 n=15
  4215 MR     a=C858 d=00 slot=D4 n=12
  4233 M1     a=8976 d=B7 slot=D4 n=15
  4263 M1     a=8977 d=20 slot=D4 n=15
  4293 MR     a=8978 d=12 slot=D4 n=12
  4311 M1     a=8979 d=21 slot=D4 n=15
  4341 MR     a=897A d=60 slot=D4 n=12
  4359 MR     a=897B d=C8 slot=D4 n=12
  4377 M1     a=897C d=7E slot=D4 n=15
  4407 MR     a=C860 d=00 slot=D4 n=12
  4425 M1     a=897D d=B7 slot=D4 n=15
  4455 M1     a=897E d=20 slot=D4 n=15
  4485 MR     a=897F d=24 slot=D4 n=12
  4503 M1     a=8980 d=3A slot=D4 n=15
  4533 MR     a=8981 d=34 slot=D4 n=12
  4551 MR     a=8982 d=C8 slot=D4 n=12
  4569 MR     a=C834 d=00 slot=D4 n=12
  4587 M1     a=8983 d=B7 slot=D4 n=15
  4617 M1     a=8984 d=F0 slot=D4 n=15
  4653 MR     a=F0D0 d=18 slot=D4 n=12
  4671 MR     a=F0D1 d=86 slot=D4 n=12
  4689 M1     a=8618 d=CD slot=D4 n=15
  4719 MR     a=8619 d=10 slot=D4 n=12
  4737 MR     a=861A d=8A slot=D4 n=12
  4767 MW     a=F0D1 d=86 slot=D4 n=6
  4785 MW     a=F0D0 d=1B slot=D4 n=6
  4797 M1     a=8A10 d=2A slot=D4 n=15
  4827 MR     a=8A11 d=08 slot=D4 n=12
  4845 MR     a=8A12 d=C8 slot=D4 n=12
  4863 MR     a=C808 d=00 slot=D4 n=12
  4881 MR     a=C809 d=80 slot=D4 n=12
  4899 M1     a=8A13 d=22 slot=D4 n=15
  4929 MR     a=8A14 d=28 slot=D4 n=12
  4947 MR     a=8A15 d=C8 slot=D4 n=12
  4971 MW     a=C828 d=00 slot=D4 n=6
  4989 MW     a=C829 d=80 slot=D4 n=6
  5001 M1     a=8A16 d=2A slot=D4 n=15
  5031 MR     a=8A17 d=0A slot=D4 n=12
  5049 MR     a=8A18 d=C8 slot=D4 n=12
  5067 MR     a=C80A d=00 slot=D4 n=12
  5085 MR     a=C80B d=80 slot=D4 n=12
  5103 M1     a=8A19 d=22 slot=D4 n=15
  5133 MR     a=8A1A d=26 slot=D4 n=12
  5151 MR     a=8A1B d=C8 slot=D4 n=12
  5175 MW     a=C826 d=00 slot=D4 n=6
  5193 MW     a=C827 d=80 slot=D4 n=6
  5205 M1     a=8A1C d=C9 slot=D4 n=15
  5235 MR     a=F0D0 d=1B slot=D4 n=12
  5253 MR     a=F0D1 d=86 slot=D4 n=12
  5271 M1     a=861B d=3A slot=D4 n=15
  5301 MR     a=861C d=00 slot=D4 n=12
  5319 MR     a=861D d=C8 slot=D4 n=12
  5337 MR     a=C800 d=00 slot=D4 n=12
  5355 M1     a=861E d=FE slot=D4 n=15
  5385 MR     a=861F d=03 slot=D4 n=12
  5403 M1     a=8620 d=C4 slot=D4 n=15
  5433 MR     a=8621 d=E0 slot=D4 n=12
  5451 MR     a=8622 d=8B slot=D4 n=12
  5481 MW     a=F0D1 d=86 slot=D4 n=6
  5499 MW     a=F0D0 d=23 slot=D4 n=6
  5511 M1     a=8BE0 d=CD slot=D4 n=15
  5541 MR     a=8BE1 d=EC slot=D4 n=12
  5559 MR     a=8BE2 d=8B slot=D4 n=12
  5589 MW     a=F0CF d=8B slot=D4 n=6
  5607 MW     a=F0CE d=E3 slot=D4 n=6
  5619 M1     a=8BEC d=21 slot=D4 n=15
  5649 MR     a=8BED d=09 slot=D4 n=12
  5667 MR     a=8BEE d=C8 slot=D4 n=12
  5685 M1     a=8BEF d=7E slot=D4 n=15
  5715 MR     a=C809 d=80 slot=D4 n=12
  5733 M1     a=8BF0 d=32 slot=D4 n=15
  5763 MR     a=8BF1 d=20 slot=D4 n=12
  5781 MR     a=8BF2 d=C8 slot=D4 n=12
  5805 MW     a=C820 d=80 slot=D4 n=6
  5817 M1     a=8BF3 d=23 slot=D4 n=15
  5859 M1     a=8BF4 d=23 slot=D4 n=15
  5901 M1     a=8BF5 d=7E slot=D4 n=15
  5931 MR     a=C80B d=80 slot=D4 n=12
  5949 M1     a=8BF6 d=23 slot=D4 n=15
  5991 M1     a=8BF7 d=23 slot=D4 n=15
  6033 M1     a=8BF8 d=96 slot=D4 n=15
  6063 MR     a=C80D d=00 slot=D4 n=12
  6081 M1     a=8BF9 d=32 slot=D4 n=15
  6111 MR     a=8BFA d=21 slot=D4 n=12
  6129 MR     a=8BFB d=C8 slot=D4 n=12
  6153 MW     a=C821 d=80 slot=D4 n=6
  6165 M1     a=8BFC d=1F slot=D4 n=15
  6195 M1     a=8BFD d=AE slot=D4 n=15
  6225 MR     a=C80D d=00 slot=D4 n=12
  6243 M1     a=8BFE d=F0 slot=D4 n=15
  6279 MR     a=F0CE d=E3 slot=D4 n=12
  6297 MR     a=F0CF d=8B slot=D4 n=12
  6315 M1     a=8BE3 d=3A slot=D4 n=15
  6345 MR     a=8BE4 d=00 slot=D4 n=12
  6363 MR     a=8BE5 d=C8 slot=D4 n=12
  6381 MR     a=C800 d=00 slot=D4 n=12
  6399 M1     a=8BE6 d=FE slot=D4 n=15
  6429 MR     a=8BE7 d=01 slot=D4 n=12
  6447 M1     a=8BE8 d=CC slot=D4 n=15
  6477 MR     a=8BE9 d=05 slot=D4 n=12
  6495 MR     a=8BEA d=8C slot=D4 n=12
  6513 M1     a=8BEB d=C9 slot=D4 n=15
  6543 MR     a=F0D0 d=23 slot=D4 n=12
  6561 MR     a=F0D1 d=86 slot=D4 n=12
  6579 M1     a=8623 d=CD slot=D4 n=15
  6609 MR     a=8624 d=16 slot=D4 n=12
  6627 MR     a=8625 d=8C slot=D4 n=12
  6657 MW     a=F0D1 d=86 slot=D4 n=6
  6675 MW     a=F0D0 d=26 slot=D4 n=6
  6687 M1     a=8C16 d=21 slot=D4 n=15
  6717 MR     a=8C17 d=C4 slot=D4 n=12
  6735 MR     a=8C18 d=8C slot=D4 n=12
  6753 M1     a=8C19 d=CD slot=D4 n=15
  6783 MR     a=8C1A d=50 slot=D4 n=12
  6801 MR     a=8C1B d=8C slot=D4 n=12
  6831 MW     a=F0CF d=8C slot=D4 n=6
  6849 MW     a=F0CE d=1C slot=D4 n=6
  6861 M1     a=8C50 d=3A slot=D4 n=15
  6891 MR     a=8C51 d=1C slot=D4 n=12
  6909 MR     a=8C52 d=C8 slot=D4 n=12
  6927 MR     a=C81C d=00 slot=D4 n=12
  6945 M1     a=8C53 d=0F slot=D4 n=15
  6975 M1     a=8C54 d=0F slot=D4 n=15
  7005 M1     a=8C55 d=E6 slot=D4 n=15
  7035 MR     a=8C56 d=3F slot=D4 n=12
  7053 M1     a=8C57 d=CD slot=D4 n=15
  7083 MR     a=8C58 d=78 slot=D4 n=12
  7101 MR     a=8C59 d=48 slot=D4 n=12
  7131 MW     a=F0CD d=8C slot=D4 n=6
  7149 MW     a=F0CC d=5A slot=D4 n=6
  7161 M1     a=4878 d=87 slot=D4 n=15
  7191 M1     a=4879 d=CD slot=D4 n=15
  7221 MR     a=487A d=A4 slot=D4 n=12
  7239 MR     a=487B d=40 slot=D4 n=12
  7269 MW     a=F0CB d=48 slot=D4 n=6
  7287 MW     a=F0CA d=7C slot=D4 n=6
  7299 M1     a=40A4 d=85 slot=D4 n=15
