# 16385 samples -> 686 bus cycles
  4452 M1     a=0C43 d=D5 slot=D4 n=15
  4494 MW     a=F15F d=55 slot=D4 n=6
  4512 MW     a=F15E d=27 slot=D4 n=6
  4524 M1     a=0C44 d=C5 slot=D4 n=15
  4566 MW     a=F15D d=5F slot=D4 n=6
  4584 MW     a=F15C d=10 slot=D4 n=6
  4596 M1     a=0C45 d=F5 slot=D4 n=15
  4638 MW     a=F15B d=98 slot=D4 n=6
  4656 MW     a=F15A d=44 slot=D4 n=6
  4668 M1     a=0C46 d=FD slot=D4 n=15
  4698 M1     a=0C47 d=E5 slot=D4 n=15
  4740 MW     a=F159 d=01 slot=D4 n=6
  4758 MW     a=F158 d=A8 slot=D4 n=6
  4770 M1     a=0C48 d=DD slot=D4 n=15
  4800 M1     a=0C49 d=E5 slot=D4 n=15
  4842 MW     a=F157 d=E0 slot=D4 n=6
  4860 MW     a=F156 d=00 slot=D4 n=6
  4872 M1     a=0C4A d=CD slot=D4 n=15
  4902 MR     a=0C4B d=9A slot=D4 n=12
  4920 MR     a=0C4C d=FD slot=D4 n=12
  4950 MW     a=F155 d=0C slot=D4 n=6
  4968 MW     a=F154 d=4D slot=D4 n=6
  4980 M1     a=FD9A d=C9 slot=D4 n=15
  5010 MR     a=F154 d=4D slot=D4 n=12
  5028 MR     a=F155 d=0C slot=D4 n=12
  5046 M1     a=0C4D d=CD slot=D4 n=15
  5076 MR     a=0C4E d=79 slot=D4 n=12
  5094 MR     a=0C4F d=14 slot=D4 n=12
  5124 MW     a=F155 d=0C slot=D4 n=6
  5142 MW     a=F154 d=50 slot=D4 n=6
  5154 M1     a=1479 d=DB slot=D4 n=15
  5184 MR     a=147A d=BA slot=D4 n=12
  5205 IOR    a=98BA d=FF slot=D4 n=15
  5226 M1     a=147B d=E6 slot=D4 n=15
  5256 MR     a=147C d=10 slot=D4 n=12
  5274 M1     a=147D d=20 slot=D4 n=15
  5304 MR     a=147E d=0D slot=D4 n=12
  5352 M1     a=148C d=DB slot=D4 n=15
  5382 MR     a=148D d=99 slot=D4 n=12
  5403 IOR    a=1099 d=1F slot=D4 n=15
  5424 M1     a=148E d=A7 slot=D4 n=15
  5454 M1     a=148F d=C9 slot=D4 n=15
  5484 MR     a=F154 d=50 slot=D4 n=12
  5502 MR     a=F155 d=0C slot=D4 n=12
  5520 M1     a=0C50 d=F2 slot=D4 n=15
  5550 MR     a=0C51 d=02 slot=D4 n=12
  5568 MR     a=0C52 d=0D slot=D4 n=12
  5586 M1     a=0D02 d=DD slot=D4 n=15
  5616 M1     a=0D03 d=E1 slot=D4 n=15
  5646 MR     a=F156 d=00 slot=D4 n=12
  5664 MR     a=F157 d=E0 slot=D4 n=12
  5682 M1     a=0D04 d=FD slot=D4 n=15
  5712 M1     a=0D05 d=E1 slot=D4 n=15
  5742 MR     a=F158 d=A8 slot=D4 n=12
  5760 MR     a=F159 d=01 slot=D4 n=12
  5778 M1     a=0D06 d=F1 slot=D4 n=15
  5808 MR     a=F15A d=44 slot=D4 n=12
